epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,3493.87,2.22925,1.31477,0.92534,0.55265,0.36789,0.38503,0.15246,2.34759,1.42981,0.8946,0.0009506,0.0009506,0.0009506
55,3558.95,2.2428,1.30069,0.93472,0.54083,0.37065,0.38385,0.15148,2.35233,1.44106,0.89628,0.0009308,0.0009308,0.0009308
56,3622.86,2.2369,1.29637,0.92936,0.55584,0.36906,0.38641,0.15235,2.36571,1.4291,0.89957,0.000911,0.000911,0.000911
57,3686.91,2.20141,1.27715,0.92963,0.56261,0.37111,0.39077,0.1538,2.35316,1.42877,0.89478,0.0008912,0.0008912,0.0008912
58,3750.96,2.2023,1.26514,0.93289,0.56003,0.36878,0.38656,0.15232,2.35654,1.42249,0.89491,0.0008714,0.0008714,0.0008714
59,3815.22,2.2024,1.28713,0.92721,0.54903,0.36582,0.38507,0.15182,2.37,1.42535,0.89391,0.0008516,0.0008516,0.0008516
60,3880.17,2.20655,1.28511,0.92694,0.54834,0.37698,0.39055,0.15531,2.3475,1.4145,0.89581,0.0008318,0.0008318,0.0008318
61,3944.29,2.19711,1.27876,0.92556,0.55924,0.37651,0.39335,0.15498,2.34016,1.40385,0.89327,0.000812,0.000812,0.000812
62,4009.3,2.23033,1.29262,0.92662,0.56246,0.37557,0.39367,0.15623,2.34534,1.40346,0.8937,0.0007922,0.0007922,0.0007922
63,4073.85,2.18613,1.26154,0.92202,0.56213,0.376,0.39536,0.15847,2.32747,1.39721,0.89248,0.0007724,0.0007724,0.0007724
64,4138.39,2.17773,1.24999,0.92943,0.57207,0.37591,0.39646,0.15861,2.32991,1.40628,0.89418,0.0007526,0.0007526,0.0007526
65,4202.98,2.17253,1.26965,0.92612,0.5583,0.37482,0.39479,0.15733,2.34094,1.40189,0.89379,0.0007328,0.0007328,0.0007328
66,4267.25,2.15636,1.23887,0.92606,0.56664,0.37656,0.39705,0.15783,2.32697,1.39654,0.89093,0.000713,0.000713,0.000713
67,4331.49,2.18244,1.25629,0.92122,0.57313,0.37722,0.40038,0.16028,2.30746,1.39257,0.88963,0.0006932,0.0006932,0.0006932
68,4396.04,2.17787,1.27433,0.92082,0.57021,0.37581,0.3971,0.15764,2.31611,1.39399,0.89093,0.0006734,0.0006734,0.0006734
69,4460.35,2.17709,1.26564,0.91528,0.56678,0.37909,0.39799,0.15895,2.31887,1.39931,0.8905,0.0006536,0.0006536,0.0006536
70,4524.55,2.16383,1.24691,0.92133,0.56893,0.38103,0.39974,0.16056,2.31035,1.38547,0.88897,0.0006338,0.0006338,0.0006338
71,4589.41,2.20498,1.26904,0.91786,0.57127,0.37759,0.40239,0.16152,2.30922,1.37764,0.88927,0.000614,0.000614,0.000614
72,4654.42,2.16164,1.24489,0.91804,0.578,0.37796,0.40307,0.16165,2.3143,1.3844,0.88841,0.0005942,0.0005942,0.0005942
73,4719.28,2.17919,1.23979,0.92245,0.574,0.38158,0.40465,0.1613,2.30261,1.38399,0.88811,0.0005744,0.0005744,0.0005744
74,4784.22,2.17692,1.25671,0.92894,0.57323,0.38463,0.40877,0.16367,2.3,1.36771,0.88773,0.0005546,0.0005546,0.0005546
75,4848.94,2.17899,1.25946,0.91535,0.56756,0.38328,0.40334,0.16045,2.31611,1.38332,0.88809,0.0005348,0.0005348,0.0005348
76,4915.22,2.17931,1.23369,0.91607,0.57046,0.38486,0.40718,0.16259,2.3073,1.37365,0.88735,0.000515,0.000515,0.000515
77,4980.63,2.13548,1.22667,0.92201,0.57759,0.38411,0.40897,0.16389,2.29708,1.37412,0.88648,0.0004952,0.0004952,0.0004952
78,5045.85,2.136,1.22783,0.91739,0.57072,0.38383,0.40582,0.16272,2.29907,1.37184,0.88696,0.0004754,0.0004754,0.0004754
79,5111.4,2.14544,1.22533,0.9152,0.57349,0.38795,0.41033,0.16491,2.29047,1.36262,0.88604,0.0004556,0.0004556,0.0004556
80,5176.79,2.14426,1.22538,0.91555,0.57961,0.38744,0.41182,0.1663,2.2823,1.3605,0.88695,0.0004358,0.0004358,0.0004358
81,5242.5,2.16225,1.2298,0.91648,0.57771,0.38683,0.41022,0.16511,2.28812,1.36433,0.88699,0.000416,0.000416,0.000416
82,5307.47,2.13318,1.21051,0.91672,0.57973,0.38598,0.40984,0.1649,2.28467,1.36692,0.88598,0.0003962,0.0003962,0.0003962
83,5372.88,2.13873,1.20734,0.91429,0.58159,0.38298,0.40976,0.16583,2.28816,1.36326,0.88518,0.0003764,0.0003764,0.0003764
84,5438.07,2.10409,1.18617,0.91287,0.57762,0.38645,0.41059,0.166,2.28729,1.36705,0.88539,0.0003566,0.0003566,0.0003566
85,5503.11,2.10359,1.21118,0.91189,0.58309,0.38481,0.41168,0.16673,2.28472,1.35805,0.88435,0.0003368,0.0003368,0.0003368
86,5568.28,2.15709,1.21477,0.91252,0.57417,0.38718,0.40962,0.16523,2.28698,1.36252,0.88484,0.000317,0.000317,0.000317
87,5633.18,2.10807,1.2068,0.90774,0.58146,0.38626,0.41255,0.16644,2.28308,1.35899,0.88461,0.0002972,0.0002972,0.0002972
88,5697.97,2.12971,1.21345,0.91103,0.58527,0.38744,0.41483,0.16722,2.2778,1.35742,0.88461,0.0002774,0.0002774,0.0002774
89,5762.56,2.1338,1.20673,0.90952,0.58013,0.38805,0.41312,0.16637,2.28114,1.35707,0.88439,0.0002576,0.0002576,0.0002576
90,5827.2,2.11235,1.20611,0.91678,0.57592,0.38787,0.41275,0.16641,2.28641,1.3617,0.88446,0.0002378,0.0002378,0.0002378
91,5892.14,2.10754,1.21626,0.91683,0.57526,0.38308,0.40844,0.16317,2.30953,1.37158,0.88791,0.000218,0.000218,0.000218
92,5955.93,2.08628,1.19184,0.91064,0.57125,0.39006,0.41119,0.16479,2.30083,1.37012,0.88739,0.0001982,0.0001982,0.0001982
93,6018.94,2.06767,1.1975,0.91236,0.57357,0.38608,0.41148,0.16591,2.29635,1.36536,0.88615,0.0001784,0.0001784,0.0001784
94,6082.12,2.08974,1.18401,0.90939,0.56805,0.39064,0.41189,0.16599,2.28684,1.3635,0.88639,0.0001586,0.0001586,0.0001586
95,6144.2,2.095,1.21428,0.90985,0.57428,0.38926,0.41394,0.16697,2.28511,1.3596,0.88597,0.0001388,0.0001388,0.0001388
96,6206.82,2.06943,1.19864,0.9098,0.57616,0.38598,0.41213,0.166,2.28662,1.36034,0.88598,0.000119,0.000119,0.000119
97,6269.24,2.07472,1.1852,0.90353,0.57805,0.38716,0.41292,0.16614,2.28525,1.358,0.886,9.92e-05,9.92e-05,9.92e-05
98,6332.76,2.05681,1.18095,0.91373,0.58064,0.38589,0.41301,0.16607,2.28397,1.35941,0.88608,7.94e-05,7.94e-05,7.94e-05
99,6395.79,2.06647,1.18142,0.90892,0.57975,0.38864,0.41485,0.1668,2.28239,1.35579,0.88575,5.96e-05,5.96e-05,5.96e-05
100,6458.59,2.06352,1.17371,0.90681,0.57322,0.39147,0.41423,0.16657,2.28136,1.3548,0.88543,3.98e-05,3.98e-05,3.98e-05
